#{"t_start": 1636681895.0632436, "env_id": null}
r,l,t
192,48,40.971676
-168,48,41.06742
-115,48,41.166155
174,48,41.245942
-170,48,41.323734
-192,48,41.401526
-188,48,41.47929
-56,48,41.557083
151,48,41.934112
-180,48,42.015893
-25,48,42.102662
93,48,42.208379
64,48,42.29415
-128,48,42.374932
-64,48,42.456714
-84,48,42.537498
-179,48,42.616287
-124,48,42.697071
57,48,43.078051
-184,48,43.292478
-165,48,43.393208
-154,48,43.490947
169,48,43.582701
-77,48,43.667475
29,48,43.750253
46,48,43.835027
-40,48,43.914813
16,48,43.993602
-188,48,44.373585
-192,48,44.448385
1,48,44.530167
-151,48,44.635884
179,48,44.717666
182,48,44.797451
-189,48,44.876241
136,48,44.959019
1,48,45.039803
-192,48,45.11959
140,48,45.490597
-112,48,45.569386
-22,48,45.645184
192,48,45.744917
77,48,45.825701
-163,48,45.901498
-112,48,45.980287
-68,48,46.057082
-23,48,46.134873
53,48,46.213662
-60,48,46.585669
173,48,46.664457
-16,48,46.753222
-165,48,46.854948
-155,48,46.934733
-33,48,47.016515
-147,48,47.095304
-148,48,47.174093
148,48,47.25388
-175,48,47.329677
-18,48,47.714648
-83,48,47.794433
-163,48,47.878211
-164,48,47.97894
115,48,48.17913
160,48,48.284847
-165,48,48.380591
-144,48,48.468357
-108,48,48.566096
132,48,48.665828
21,48,49.120612
-166,48,49.206518
35,48,49.29528
170,48,49.392021
-114,48,49.472805
-181,48,49.553589
96,48,49.63138
159,48,49.712164
-140,48,49.788959
-140,48,49.864756
-4,48,50.236783
50,48,50.317546
-121,48,50.400325
73,48,50.500057
122,48,50.582835
153,48,50.662622
-184,48,50.741436
-192,48,50.824191
142,48,50.906968
-192,48,50.986755
101,48,51.37771
-91,48,51.465474
-174,48,51.557229
151,48,51.653851
-184,48,51.734634
-163,48,51.814421
-79,48,51.896202
-182,48,51.973995
-161,48,52.050788
-108,48,52.127583
-152,48,52.498597
172,48,52.575393
-188,48,52.662159
-127,48,52.766856
3,48,52.846612
106,48,52.927396
